,abernier@example.com,500.0
,alexandria.gutmann@example.org,500.0
,amani.wuckert@example.net,500.0
,ankunding.cheyanne@example.net,500.0
,asimonis@example.net,500.0
,bell.botsford@example.org,500.0
,bernier.junius@example.org,500.0
,berry.heaney@example.net,500.0
,bkris@example.org,500.0
,brice52@example.com,500.0
,bridie93@example.net,500.0
,brown.aliya@example.org,500.0
,buckridge.tiana@example.com,500.0
,carlie15@example.org,500.0
,celestino10@example.org,500.0
,celine.cummerata@example.org,500.0
,cordie.eichmann@example.com,500.0
,cronin.theo@example.org,500.0
,dejon41@example.net,500.0
,dejuan67@example.com,500.0
,demetrius.fisher@example.net,500.0
,denesik.ruben@example.com,500.0
,derek.paucek@example.org,500.0
,destini.marks@example.org,500.0
,dkilback@example.org,500.0
,dkoepp@example.com,500.0
,dsanford@example.org,500.0
,ernser.sarah@example.org,500.0
,farrell.noemy@example.org,500.0
,freddie94@example.org,500.0
,freichel@example.net,500.0
,freynolds@example.com,500.0
,gdonnelly@example.org,500.0
,geo.dach@example.org,500.0
,gleason.daphney@example.com,500.0
,gulgowski.kali@example.com,500.0
,halvorson.ivy@example.net,500.0
,harrison.bradtke@example.com,500.0
,2heaney.meggie@example.org,500.0
,hilario79@example.org,500.0
,homenick.sydney@example.com,500.0
,howe.elian@example.net,500.0
,ignatius.kuhlman@example.org,500.0
,jacobi.megane@example.com,500.0
,jody41@example.com,500.0
,julian81@example.com,500.0
,kaley41@example.org,500.0
,kariane.marvin@example.org,500.0
,karianne.wolff@example.org,500.0
,klocko.kareem@example.net,500.0
,kunde.kraig@example.org,500.0
,kunze.aniya@example.com,500.0
,magdalen99@example.org,500.0
,maiya.boehm@example.org,500.0
,marilyne.mcglynn@example.net,500.0
,marlene.beahan@example.net,500.0
,maurine88@example.org,500.0
,medhurst.tiffany@example.net,500.0
,mgleason@example.net,500.0
,milford.corkery@example.net,500.0
,2milton.white@example.org,500.0
,molly.feil@example.org,500.0
,mstehr@example.net,500.0
,ncorkery@example.org,500.0
,nwehner@example.org,500.0
,octavia.white@example.com,500.0
,oswald.parisian@example.net,500.0
,pfeffer.louisa@example.com,500.0
,pink.schoen@example.com,500.0
,qdonnelly@example.net,500.0
,qfahey@example.com,500.0
,qrau@example.com,500.0
,quinton.koelpin@example.org,500.0
,rcorwin@example.org,500.0
,reilly.emmie@example.net,500.0
,rex.frami@example.org,500.0
,roberto09@example.org,500.0
,rose71@example.net,500.0
,rossie25@example.org,500.0
,2rrunolfsdottir@example.org,500.0
,salvador.corwin@example.net,500.0
,sophie.grimes@example.org,500.0
,stehr.lane@example.com,500.0
,swaniawski.sophia@example.com,500.0
,sylvester59@example.com,500.0
,tbernier@example.com,500.0
,trycia.fay@example.org,500.0
,ublanda@example.net,500.0
,uturner@example.com,500.0
,vcremin@example.org,500.0
,vlittle@example.com,500.0
,ward.makenna@example.org,500.0
,wbruen@example.net,500.0
,winnifred69@example.org,500.0
,xhomenick@example.com,500.0
,xschoen@example.org,500.0
,yundt.eda@example.net,500.0
,zkub@example.org,500.0
